GENENAME	Adrenal4.a.s	Adrenal4.c.s	Adrenal4.d.s	Thryoid5.a.s	Thyroid5.b.s	Thyroid5.c.s	Thyroid5.d.s
DDX11L1	0	0	0	0	0	0	0
WASH7P	49	44	32	22	36	22	18
MIR1302-2	3	0	1	1	4	1	0
FAM138A	0	0	0	0	0	0	0
AL627309.2	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0
RP11-34P13.7	0	3	0	0	0	0	0
RP11-34P13.8	0	0	0	0	0	0	0
RP11-34P13.10	2	0	1	1	0	1	0
AL627309.1	29	7	37	20	10	26	25
RP11-34P13.15	0	0	0	0	0	0	0
RP11-34P13.16	0	0	0	0	0	0	0
RP11-34P13.14	0	0	0	0	0	0	0
RP11-34P13.13	0	2	3	2	0	0	1
U6	131	144	151	178	229	2866	204
RP11-34P13.9	0	0	0	0	0	0	0
AP006222.2	16	20	4	1	0	0	5
AP006222.1	0	0	0	0	0	0	0
RP4-669L17.10	0	1	0	2	1	0	1
RP4-669L17.8	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0
RP4-669L17.4	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0
WBP1LP7	0	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0	0
RP4-669L17.2	0	0	0	0	0	0	0
RP5-857K21.15	0	0	0	0	0	0	0
RP4-669L17.1	0	0	0	0	0	0	0
RP5-857K21.1	2	3	0	0	1	0	4
RP5-857K21.2	0	0	0	0	0	0	0
RP5-857K21.3	0	0	0	0	0	0	0
RP5-857K21.4	0	0	0	0	0	0	0
RP5-857K21.5	0	0	0	0	0	0	0
MTND1P23	9	5	3	0	1	0	3
MTND2P28	27	36	26	0	3	0	7
hsa-mir-6723	2546	20657	2139	93	11396	0	583
RP5-857K21.7	50	35	42	1	6	0	7
MTATP8P1	2	2	0	0	0	0	0
MTATP6P1	39	39	21	1	3	0	9
RP5-857K21.11	6250	5518	4731	92	1536	0	2975
WBP1LP6	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0
CICP3	2	1	0	0	0	0	0
RP11-206L10.1	8	6	6	1	5	0	5
RP11-206L10.3	0	0	0	0	0	0	1
RP11-206L10.5	0	0	0	0	0	0	0
RP11-206L10.4	0	0	0	0	0	0	0
RP11-206L10.2	1	0	9	8	5	0	8
RP11-206L10.9	20	11	7	30	23	1	26
RP11-206L10.8	0	1	4	2	1	4	1
AL669831.1	0	0	0	5	1	0	1
RP11-206L10.10	0	0	0	0	0	0	0
FAM87B	11	11	12	3	6	1	8
LINC00115	36	20	22	18	30	0	13
RP11-206L10.11	295	218	260	217	160	4	233
FAM41C	0	0	0	0	0	5	1
TUBB8P11	0	0	1	0	0	0	0
AL645608.2	0	0	0	0	0	0	0
RP11-54O7.1	16	9	10	1	5	15	0
RP11-54O7.2	0	1	0	0	0	0	0
RP11-54O7.3	216	159	155	23	1	61	19
SAMD11	140	115	173	5	4	0	20
AL645608.1	1	1	0	0	0	1	0
NOC2L	422	460	562	540	743	0	468
KLHL17	112	78	111	35	63	0	24
PLEKHN1	11	9	6	0	7	0	3
C1orf170	2	2	1	0	2	1	1
HES4	17	14	16	7	5	0	7
RP11-54O7.10	0	0	0	2	1	0	0
RP11-54O7.11	0	0	1	1	2	45	1
ISG15	85	46	91	17	40	2	20
AGRN	171	143	260	878	1239	2	522
RP11-54O7.14	0	0	0	0	0	0	0
RP11-465B22.3	2	6	2	17	31	14	22
RNF223	0	0	0	0	0	1	0
C1orf159	90	81	92	26	87	155	60
RP11-465B22.5	0	0	0	0	0	1	0
MIR200B	0	0	0	0	0	0	0
MIR200A	1	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	1	0	1	0
TTLL10	2	0	1	0	2	1	3
TNFRSF18	3	9	6	0	3	0	2
TNFRSF4	0	1	5	8	4	1	3
SDF4	1555	1476	1642	1284	1519	19	1276
B3GALT6	179	98	166	248	253	30	245
FAM132A	4	1	1	1	4	0	1
RP5-902P8.12	4	1	2	0	3	2	2
UBE2J2	393	336	384	238	265	1	283
RP5-902P8.10	16	14	9	2	15	0	6
SCNN1D	101	78	78	8	82	556	28
ACAP3	941	870	917	128	300	716	241
PUSL1	53	42	56	23	33	2	28
CPSF3L	1063	943	1093	1041	1298	228	916
RP5-890O3.9	61	58	49	61	63	0	67
GLTPD1	204	97	213	57	50	9	50
TAS1R3	6	13	27	4	4	11	1
DVL1	766	589	781	181	267	19	260
MXRA8	785	421	436	92	290	15	393
AURKAIP1	712	446	547	180	172	18	173
RP5-890O3.3	1	0	0	0	0	132	1
CCNL2	4287	3662	3173	3540	3008	164	2831
RP4-758J18.2	267	190	192	254	290	111	212
MRPL20	789	542	602	473	503	81	571
RN7SL657P	0	0	0	0	0	0	0
ANKRD65	38	13	16	6	43	140	50
RP4-758J18.7	2	0	0	0	0	9	0
TMEM88B	0	0	0	0	0	2	0
RP4-758J18.10	1	0	0	0	1	0	1
VWA1	264	187	196	139	871	9	309
ATAD3C	5	1	7	131	126	644	97
ATAD3B	199	214	180	160	315	217	184
ATAD3A	148	110	144	99	117	111	60
TMEM240	12	9	10	1	3	3	1
SSU72	869	735	910	1554	1355	4	1410
AL645728.2	0	0	0	0	0	0	0
AL645728.1	7	8	16	14	29	1	10
AL645728.3	0	0	0	0	0	0	0
C1orf233	289	199	323	83	172	36	66
MIB2	570	420	551	154	362	859	213
MMP23B	3	0	0	0	0	2	0
CDK11B	193	184	265	129	203	2	144
SLC35E2B	1117	634	663	824	1519	78	1113
RP11-345P4.7	53	9	15	22	31	0	21
RP11-345P4.6	12	6	8	8	15	0	9
MMP23A	0	0	2	0	0	0	0
CDK11A	33	19	52	13	22	33	23
RP1-283E3.8	33	35	68	78	102	4	47
RP1-283E3.4	52	57	117	159	112	556	76
SLC35E2	16	27	26	78	72	91	65
NADK	1566	1484	1973	652	716	1	677
GNB1	4570	4657	5640	5993	4593	100	5629
RP1-140A9.1	5	3	4	4	17	2	3
CALML6	2	4	2	4	7	0	5
TMEM52	295	201	161	7	6	0	2
C1orf222	12	69	34	14	3	7	0
RP11-547D24.1	0	1	0	8	17	0	5
GABRD	32	77	48	43	70	0	3
RP11-547D24.3	0	0	0	0	9	0	1
PRKCZ	292	252	311	313	442	0	654
RP11-181G12.2	35	29	37	36	67	0	79
C1orf86	211	170	164	89	164	18	130
AL590822.2	49	47	49	34	88	0	46
AL590822.1	2	2	1	2	14	48	6
RP11-181G12.5	0	0	0	0	0	0	0
RP11-181G12.4	0	0	0	0	0	0	0
SKI	789	806	779	841	872	5	1173
MORN1	39	17	39	52	113	142	58
AL589739.1	1	1	0	5	7	0	8
RP4-740C4.6	18	20	16	43	93	0	44
RP4-740C4.5	0	0	0	0	0	0	0
AL513477.1	7	9	5	3	11	10	4
RER1	1648	1469	1614	1196	956	20	1256
PEX10	641	409	621	229	376	14	252
PLCH2	170	179	370	6	267	31	93
RP3-395M20.2	7	9	19	0	1	0	1
RP3-395M20.3	11	5	9	0	1	2	0
PANK4	303	287	348	206	337	0	241
HES5	0	0	0	2	1	0	1
RP3-395M20.8	41	34	42	12	40	9	46
TNFRSF14	1170	697	1011	49	169	35	300
RP3-395M20.7	2	0	4	0	0	11	2
RP3-395M20.9	0	1	1	0	15	53	4
FAM213B	284	292	468	76	446	178	207
MMEL1	5	6	3	1	62	30	33
RP13-436F16.1	0	0	0	0	0	5	0
TTC34	29	32	20	15	148	3	67
RP11-740P5.2	0	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0
RP1-163G9.1	16	6	23	121	328	0	225
AL008733.1	0	0	0	0	0	0	0
PRDM16	24	24	15	503	534	2	628
RP1-163G9.2	0	0	0	0	0	0	2
ARHGEF16	5	7	26	256	380	23	226
MEGF6	243	109	133	5	48	146	119
MIR551A	0	0	0	0	0	0	0
RP11-46F15.2	6	5	6	5	21	0	8
TPRG1L	1387	978	1146	1603	1198	0	1363
WRAP73	267	184	239	178	325	0	238
TP73	6	1	11	7	15	62	7
RP5-1092A11.5	0	0	0	0	0	0	0
RP5-1092A11.2	0	0	0	0	0	301	0
TP73-AS1	656	569	600	729	1289	0	886
CCDC27	0	0	0	2	10	1	5
SMIM1	9	7	7	0	11	0	8
LRRC47	696	574	626	746	775	0	672
RN7SL574P	3	2	0	1	5	0	2
CEP104	696	665	772	1132	870	241	969
DFFB	104	68	64	97	107	32	139
AL691523.1	0	0	0	0	0	0	0
C1orf174	355	165	282	316	350	37	376
RP13-15E13.1	4	4	5	5	0	62	3
RP13-614K11.1	0	0	0	0	0	0	0
RP13-614K11.2	0	0	0	0	0	0	0
RP11-374C13.1	0	0	0	0	0	0	0
RP5-1166F10.1	0	0	1	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0	0
AJAP1	15	23	24	8	11	4	8
RP11-542C10.1	0	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0
RP11-154H17.1	0	0	0	0	0	0	0
AL356693.1	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0
NPHP4	145	188	216	507	710	60	383
AL356261.1	0	0	0	1	0	0	0
KCNAB2	273	264	461	64	223	20	82
AL035406.1	0	0	0	0	0	0	0
CHD5	448	413	587	4	6	1050	3
RPL22	2888	2144	2122	3915	2838	0	2905
RP1-120G22.11	5	4	7	8	18	0	5
RNF207	227	187	192	247	331	10	210
ICMT	1575	1362	1835	2104	1694	6	1690
LINC00337	0	1	0	0	0	0	0
HES3	0	0	0	0	0	0	0
GPR153	119	108	117	18	18	0	48
ACOT7	371	235	451	34	48	2	47
HES2	1	0	0	0	0	22	0
ESPN	26	38	67	0	0	0	0
MIR4252	0	0	0	0	0	0	0
RP1-202O8.2	1	0	5	0	0	0	0
TNFRSF25	344	265	238	31	84	170	48
